geoName,uncomfortable
Alabama,73
Alaska,95
Arizona,71
Arkansas,62
California,75
Colorado,56
Connecticut,85
Delaware,77
District of Columbia,71
Florida,70
Georgia,71
Hawaii,46
Idaho,57
Illinois,70
Indiana,63
Iowa,77
Kansas,100
Kentucky,62
Louisiana,84
Maine,92
Maryland,65
Massachusetts,86
Michigan,74
Minnesota,74
Mississippi,65
Missouri,68
Montana,63
Nebraska,56
Nevada,79
New Hampshire,98
New Jersey,78
New Mexico,42
New York,75
North Carolina,70
North Dakota,67
Ohio,67
Oklahoma,73
Oregon,58
Pennsylvania,84
Rhode Island,56
South Carolina,69
South Dakota,61
Tennessee,48
Texas,68
Utah,66
Vermont,53
Virginia,81
Washington,76
West Virginia,94
Wisconsin,72
Wyoming,16
