date,uncomfortable,isPartial
2014-01-05,90,False
2014-01-12,70,False
2014-01-19,75,False
2014-01-26,76,False
2014-02-02,77,False
2014-02-09,64,False
2014-02-16,72,False
2014-02-23,75,False
2014-03-02,71,False
2014-03-09,86,False
2014-03-16,79,False
2014-03-23,75,False
2014-03-30,88,False
2014-04-06,83,False
2014-04-13,94,False
2014-04-20,79,False
2014-04-27,95,False
2014-05-04,86,False
2014-05-11,79,False
2014-05-18,92,False
2014-05-25,80,False
2014-06-01,76,False
2014-06-08,69,False
2014-06-15,89,False
2014-06-22,92,False
2014-06-29,82,False
2014-07-06,76,False
2014-07-13,87,False
2014-07-20,79,False
2014-07-27,83,False
2014-08-03,94,False
2014-08-10,85,False
2014-08-17,74,False
2014-08-24,69,False
2014-08-31,92,False
2014-09-07,72,False
2014-09-14,100,False
2014-09-21,74,False
2014-09-28,79,False
2014-10-05,77,False
2014-10-12,71,False
2014-10-19,77,False
2014-10-26,75,False
2014-11-02,75,False
2014-11-09,75,False
2014-11-16,75,False
2014-11-23,72,False
2014-11-30,82,False
2014-12-07,85,False
2014-12-14,63,False
2014-12-21,68,False
2014-12-28,75,False
