geoName,uncomfortable
Alabama,59
Alaska,51
Arizona,56
Arkansas,68
California,69
Colorado,47
Connecticut,61
Delaware,77
District of Columbia,63
Florida,55
Georgia,64
Hawaii,78
Idaho,60
Illinois,63
Indiana,65
Iowa,62
Kansas,62
Kentucky,68
Louisiana,61
Maine,63
Maryland,65
Massachusetts,63
Michigan,58
Minnesota,55
Mississippi,62
Missouri,58
Montana,40
Nebraska,71
Nevada,55
New Hampshire,63
New Jersey,67
New Mexico,46
New York,65
North Carolina,62
North Dakota,69
Ohio,61
Oklahoma,63
Oregon,66
Pennsylvania,70
Rhode Island,75
South Carolina,62
South Dakota,45
Tennessee,54
Texas,54
Utah,59
Vermont,100
Virginia,55
Washington,65
West Virginia,39
Wisconsin,63
Wyoming,49
