geoName,uncomfortable
Alabama,67
Alaska,54
Arizona,83
Arkansas,70
California,77
Colorado,70
Connecticut,91
Delaware,39
District of Columbia,69
Florida,86
Georgia,71
Hawaii,57
Idaho,100
Illinois,80
Indiana,73
Iowa,83
Kansas,53
Kentucky,79
Louisiana,76
Maine,86
Maryland,64
Massachusetts,81
Michigan,75
Minnesota,84
Mississippi,77
Missouri,74
Montana,65
Nebraska,87
Nevada,85
New Hampshire,85
New Jersey,82
New Mexico,59
New York,70
North Carolina,66
North Dakota,79
Ohio,72
Oklahoma,64
Oregon,55
Pennsylvania,78
Rhode Island,84
South Carolina,73
South Dakota,80
Tennessee,70
Texas,68
Utah,72
Vermont,46
Virginia,48
Washington,74
West Virginia,47
Wisconsin,66
Wyoming,38
