date,uncomfortable,isPartial
2016-01-03,79,False
2016-01-10,86,False
2016-01-17,86,False
2016-01-24,83,False
2016-01-31,98,False
2016-02-07,88,False
2016-02-14,88,False
2016-02-21,100,False
2016-02-28,83,False
2016-03-06,80,False
2016-03-13,80,False
2016-03-20,94,False
2016-03-27,88,False
2016-04-03,88,False
2016-04-10,94,False
2016-04-17,94,False
2016-04-24,84,False
2016-05-01,79,False
2016-05-08,99,False
2016-05-15,86,False
2016-05-22,88,False
2016-05-29,86,False
2016-06-05,93,False
2016-06-12,86,False
2016-06-19,92,False
2016-06-26,82,False
2016-07-03,76,False
2016-07-10,72,False
2016-07-17,83,False
2016-07-24,72,False
2016-07-31,79,False
2016-08-07,69,False
2016-08-14,77,False
2016-08-21,84,False
2016-08-28,70,False
2016-09-04,94,False
2016-09-11,86,False
2016-09-18,88,False
2016-09-25,90,False
2016-10-02,87,False
2016-10-09,83,False
2016-10-16,91,False
2016-10-23,91,False
2016-10-30,84,False
2016-11-06,77,False
2016-11-13,88,False
2016-11-20,75,False
2016-11-27,82,False
2016-12-04,86,False
2016-12-11,82,False
2016-12-18,75,False
2016-12-25,74,False
