date,uncomfortable,isPartial
2015-01-04,56,False
2015-01-11,51,False
2015-01-18,64,False
2015-01-25,64,False
2015-02-01,66,False
2015-02-08,65,False
2015-02-15,65,False
2015-02-22,59,False
2015-03-01,76,False
2015-03-08,61,False
2015-03-15,66,False
2015-03-22,77,False
2015-03-29,65,False
2015-04-05,70,False
2015-04-12,65,False
2015-04-19,74,False
2015-04-26,64,False
2015-05-03,51,False
2015-05-10,69,False
2015-05-17,61,False
2015-05-24,69,False
2015-05-31,59,False
2015-06-07,70,False
2015-06-14,65,False
2015-06-21,66,False
2015-06-28,69,False
2015-07-05,73,False
2015-07-12,77,False
2015-07-19,68,False
2015-07-26,73,False
2015-08-02,72,False
2015-08-09,89,False
2015-08-16,91,False
2015-08-23,84,False
2015-08-30,95,False
2015-09-06,84,False
2015-09-13,99,False
2015-09-20,87,False
2015-09-27,100,False
2015-10-04,81,False
2015-10-11,75,False
2015-10-18,73,False
2015-10-25,73,False
2015-11-01,82,False
2015-11-08,80,False
2015-11-15,60,False
2015-11-22,63,False
2015-11-29,69,False
2015-12-06,77,False
2015-12-13,65,False
2015-12-20,67,False
2015-12-27,81,False
