geoName,uncomfortable
Alabama,57
Alaska,87
Arizona,55
Arkansas,44
California,79
Colorado,55
Connecticut,73
Delaware,74
District of Columbia,68
Florida,63
Georgia,66
Hawaii,70
Idaho,76
Illinois,72
Indiana,59
Iowa,74
Kansas,70
Kentucky,54
Louisiana,55
Maine,100
Maryland,74
Massachusetts,81
Michigan,71
Minnesota,73
Mississippi,74
Missouri,68
Montana,45
Nebraska,77
Nevada,74
New Hampshire,70
New Jersey,70
New Mexico,67
New York,79
North Carolina,62
North Dakota,55
Ohio,64
Oklahoma,70
Oregon,44
Pennsylvania,79
Rhode Island,81
South Carolina,50
South Dakota,43
Tennessee,77
Texas,72
Utah,60
Vermont,85
Virginia,76
Washington,73
West Virginia,66
Wisconsin,61
Wyoming,56
