geoName,overcome
Alabama,77
Alaska,41
Arizona,70
Arkansas,100
California,65
Colorado,61
Connecticut,60
Delaware,49
District of Columbia,52
Florida,70
Georgia,73
Hawaii,87
Idaho,89
Illinois,62
Indiana,80
Iowa,72
Kansas,56
Kentucky,65
Louisiana,66
Maine,54
Maryland,72
Massachusetts,52
Michigan,63
Minnesota,63
Mississippi,90
Missouri,66
Montana,58
Nebraska,83
Nevada,52
New Hampshire,58
New Jersey,69
New Mexico,71
New York,59
North Carolina,76
North Dakota,64
Ohio,74
Oklahoma,80
Oregon,73
Pennsylvania,66
Rhode Island,52
South Carolina,87
South Dakota,46
Tennessee,78
Texas,69
Utah,77
Vermont,62
Virginia,76
Washington,62
West Virginia,77
Wisconsin,61
Wyoming,61
