geoName,overcome
Alabama,90
Alaska,65
Arizona,77
Arkansas,100
California,68
Colorado,71
Connecticut,88
Delaware,80
District of Columbia,66
Florida,66
Georgia,79
Hawaii,71
Idaho,87
Illinois,62
Indiana,75
Iowa,74
Kansas,59
Kentucky,67
Louisiana,64
Maine,57
Maryland,74
Massachusetts,65
Michigan,64
Minnesota,69
Mississippi,84
Missouri,75
Montana,69
Nebraska,71
Nevada,53
New Hampshire,45
New Jersey,74
New Mexico,97
New York,69
North Carolina,85
North Dakota,81
Ohio,73
Oklahoma,69
Oregon,46
Pennsylvania,64
Rhode Island,52
South Carolina,79
South Dakota,69
Tennessee,77
Texas,72
Utah,84
Vermont,80
Virginia,73
Washington,61
West Virginia,78
Wisconsin,62
Wyoming,72
