date,overcome,isPartial
2013-01-06,75,False
2013-01-13,84,False
2013-01-20,87,False
2013-01-27,83,False
2013-02-03,86,False
2013-02-10,84,False
2013-02-17,90,False
2013-02-24,100,False
2013-03-03,86,False
2013-03-10,75,False
2013-03-17,86,False
2013-03-24,90,False
2013-03-31,79,False
2013-04-07,85,False
2013-04-14,86,False
2013-04-21,81,False
2013-04-28,90,False
2013-05-05,72,False
2013-05-12,80,False
2013-05-19,76,False
2013-05-26,73,False
2013-06-02,69,False
2013-06-09,67,False
2013-06-16,66,False
2013-06-23,60,False
2013-06-30,64,False
2013-07-07,65,False
2013-07-14,66,False
2013-07-21,66,False
2013-07-28,66,False
2013-08-04,59,False
2013-08-11,71,False
2013-08-18,76,False
2013-08-25,80,False
2013-09-01,72,False
2013-09-08,85,False
2013-09-15,77,False
2013-09-22,92,False
2013-09-29,83,False
2013-10-06,79,False
2013-10-13,86,False
2013-10-20,90,False
2013-10-27,78,False
2013-11-03,82,False
2013-11-10,88,False
2013-11-17,79,False
2013-11-24,68,False
2013-12-01,75,False
2013-12-08,82,False
2013-12-15,66,False
2013-12-22,50,False
2013-12-29,61,False
