geoName,overcome
Alabama,72
Alaska,49
Arizona,62
Arkansas,100
California,59
Colorado,57
Connecticut,52
Delaware,55
District of Columbia,59
Florida,60
Georgia,62
Hawaii,82
Idaho,75
Illinois,48
Indiana,68
Iowa,59
Kansas,55
Kentucky,79
Louisiana,59
Maine,56
Maryland,63
Massachusetts,52
Michigan,63
Minnesota,52
Mississippi,85
Missouri,55
Montana,56
Nebraska,67
Nevada,59
New Hampshire,53
New Jersey,65
New Mexico,70
New York,57
North Carolina,73
North Dakota,93
Ohio,58
Oklahoma,77
Oregon,55
Pennsylvania,60
Rhode Island,55
South Carolina,63
South Dakota,61
Tennessee,57
Texas,63
Utah,77
Vermont,47
Virginia,67
Washington,49
West Virginia,73
Wisconsin,61
Wyoming,40
