geoName,overcome
Alabama,78
Alaska,57
Arizona,59
Arkansas,100
California,66
Colorado,62
Connecticut,71
Delaware,93
District of Columbia,52
Florida,67
Georgia,68
Hawaii,75
Idaho,97
Illinois,65
Indiana,75
Iowa,68
Kansas,67
Kentucky,63
Louisiana,72
Maine,65
Maryland,72
Massachusetts,57
Michigan,67
Minnesota,55
Mississippi,85
Missouri,60
Montana,82
Nebraska,70
Nevada,64
New Hampshire,59
New Jersey,69
New Mexico,67
New York,61
North Carolina,73
North Dakota,58
Ohio,61
Oklahoma,70
Oregon,39
Pennsylvania,62
Rhode Island,62
South Carolina,75
South Dakota,72
Tennessee,73
Texas,70
Utah,92
Vermont,90
Virginia,76
Washington,62
West Virginia,74
Wisconsin,57
Wyoming,65
