date,overcome,isPartial
2015-01-04,76,False
2015-01-11,85,False
2015-01-18,100,False
2015-01-25,97,False
2015-02-01,79,False
2015-02-08,96,False
2015-02-15,86,False
2015-02-22,96,False
2015-03-01,92,False
2015-03-08,92,False
2015-03-15,80,False
2015-03-22,83,False
2015-03-29,90,False
2015-04-05,85,False
2015-04-12,86,False
2015-04-19,95,False
2015-04-26,98,False
2015-05-03,90,False
2015-05-10,87,False
2015-05-17,83,False
2015-05-24,71,False
2015-05-31,72,False
2015-06-07,73,False
2015-06-14,83,False
2015-06-21,72,False
2015-06-28,70,False
2015-07-05,73,False
2015-07-12,78,False
2015-07-19,68,False
2015-07-26,68,False
2015-08-02,78,False
2015-08-09,67,False
2015-08-16,75,False
2015-08-23,82,False
2015-08-30,88,False
2015-09-06,84,False
2015-09-13,85,False
2015-09-20,90,False
2015-09-27,84,False
2015-10-04,93,False
2015-10-11,85,False
2015-10-18,85,False
2015-10-25,89,False
2015-11-01,93,False
2015-11-08,90,False
2015-11-15,99,False
2015-11-22,68,False
2015-11-29,84,False
2015-12-06,87,False
2015-12-13,85,False
2015-12-20,58,False
2015-12-27,71,False
