geoName,overcome
Alabama,85
Alaska,54
Arizona,70
Arkansas,91
California,69
Colorado,71
Connecticut,62
Delaware,93
District of Columbia,57
Florida,72
Georgia,80
Hawaii,91
Idaho,100
Illinois,65
Indiana,76
Iowa,63
Kansas,65
Kentucky,82
Louisiana,78
Maine,78
Maryland,72
Massachusetts,60
Michigan,67
Minnesota,63
Mississippi,72
Missouri,72
Montana,47
Nebraska,68
Nevada,63
New Hampshire,73
New Jersey,75
New Mexico,86
New York,66
North Carolina,80
North Dakota,62
Ohio,68
Oklahoma,69
Oregon,48
Pennsylvania,65
Rhode Island,84
South Carolina,80
South Dakota,92
Tennessee,82
Texas,71
Utah,85
Vermont,46
Virginia,71
Washington,67
West Virginia,99
Wisconsin,66
Wyoming,41
