geoName,suffer
Alabama,79
Alaska,100
Arizona,64
Arkansas,78
California,65
Colorado,61
Connecticut,77
Delaware,78
District of Columbia,58
Florida,72
Georgia,74
Hawaii,67
Idaho,68
Illinois,59
Indiana,72
Iowa,82
Kansas,66
Kentucky,73
Louisiana,59
Maine,81
Maryland,78
Massachusetts,60
Michigan,66
Minnesota,64
Mississippi,78
Missouri,65
Montana,37
Nebraska,78
Nevada,79
New Hampshire,49
New Jersey,69
New Mexico,86
New York,69
North Carolina,76
North Dakota,77
Ohio,59
Oklahoma,74
Oregon,50
Pennsylvania,73
Rhode Island,63
South Carolina,68
South Dakota,100
Tennessee,69
Texas,68
Utah,86
Vermont,67
Virginia,57
Washington,57
West Virginia,78
Wisconsin,56
Wyoming,58
