date,suffer,isPartial
2012-01-01,40,False
2012-01-08,41,False
2012-01-15,44,False
2012-01-22,49,False
2012-01-29,44,False
2012-02-05,50,False
2012-02-12,44,False
2012-02-19,45,False
2012-02-26,51,False
2012-03-04,51,False
2012-03-11,49,False
2012-03-18,58,False
2012-03-25,52,False
2012-04-01,51,False
2012-04-08,52,False
2012-04-15,59,False
2012-04-22,57,False
2012-04-29,54,False
2012-05-06,53,False
2012-05-13,44,False
2012-05-20,54,False
2012-05-27,45,False
2012-06-03,38,False
2012-06-10,42,False
2012-06-17,40,False
2012-06-24,37,False
2012-07-01,41,False
2012-07-08,38,False
2012-07-15,43,False
2012-07-22,35,False
2012-07-29,33,False
2012-08-05,37,False
2012-08-12,34,False
2012-08-19,33,False
2012-08-26,45,False
2012-09-02,39,False
2012-09-09,50,False
2012-09-16,50,False
2012-09-23,43,False
2012-09-30,52,False
2012-10-07,49,False
2012-10-14,50,False
2012-10-21,52,False
2012-10-28,60,False
2012-11-04,55,False
2012-11-11,53,False
2012-11-18,49,False
2012-11-25,73,False
2012-12-02,100,False
2012-12-09,72,False
2012-12-16,52,False
2012-12-23,34,False
2012-12-30,48,False
