geoName,suffer
Alabama,80
Alaska,65
Arizona,72
Arkansas,56
California,65
Colorado,55
Connecticut,74
Delaware,64
District of Columbia,52
Florida,67
Georgia,58
Hawaii,69
Idaho,54
Illinois,64
Indiana,79
Iowa,56
Kansas,58
Kentucky,97
Louisiana,71
Maine,58
Maryland,69
Massachusetts,61
Michigan,70
Minnesota,54
Mississippi,100
Missouri,67
Montana,38
Nebraska,44
Nevada,48
New Hampshire,65
New Jersey,74
New Mexico,58
New York,74
North Carolina,69
North Dakota,74
Ohio,69
Oklahoma,55
Oregon,67
Pennsylvania,82
Rhode Island,49
South Carolina,52
South Dakota,81
Tennessee,63
Texas,63
Utah,53
Vermont,66
Virginia,66
Washington,59
West Virginia,94
Wisconsin,53
Wyoming,77
