geoName,suffer
Alabama,68
Alaska,58
Arizona,55
Arkansas,85
California,58
Colorado,47
Connecticut,59
Delaware,61
District of Columbia,53
Florida,62
Georgia,63
Hawaii,46
Idaho,100
Illinois,55
Indiana,64
Iowa,39
Kansas,55
Kentucky,60
Louisiana,60
Maine,75
Maryland,61
Massachusetts,51
Michigan,58
Minnesota,60
Mississippi,58
Missouri,58
Montana,94
Nebraska,63
Nevada,70
New Hampshire,54
New Jersey,67
New Mexico,62
New York,61
North Carolina,67
North Dakota,49
Ohio,63
Oklahoma,55
Oregon,38
Pennsylvania,62
Rhode Island,50
South Carolina,70
South Dakota,64
Tennessee,64
Texas,57
Utah,72
Vermont,45
Virginia,60
Washington,48
West Virginia,56
Wisconsin,64
Wyoming,72
