geoName,suffer
Alabama,77
Alaska,89
Arizona,72
Arkansas,82
California,68
Colorado,58
Connecticut,67
Delaware,65
District of Columbia,60
Florida,66
Georgia,68
Hawaii,74
Idaho,64
Illinois,58
Indiana,77
Iowa,58
Kansas,79
Kentucky,70
Louisiana,65
Maine,86
Maryland,71
Massachusetts,62
Michigan,70
Minnesota,60
Mississippi,82
Missouri,71
Montana,66
Nebraska,56
Nevada,64
New Hampshire,58
New Jersey,70
New Mexico,77
New York,62
North Carolina,65
North Dakota,44
Ohio,68
Oklahoma,76
Oregon,48
Pennsylvania,71
Rhode Island,69
South Carolina,81
South Dakota,84
Tennessee,68
Texas,67
Utah,78
Vermont,45
Virginia,65
Washington,57
West Virginia,100
Wisconsin,65
Wyoming,57
