geoName,suffer
Alabama,74
Alaska,87
Arizona,74
Arkansas,77
California,71
Colorado,62
Connecticut,76
Delaware,62
District of Columbia,64
Florida,75
Georgia,71
Hawaii,66
Idaho,86
Illinois,67
Indiana,77
Iowa,72
Kansas,79
Kentucky,68
Louisiana,82
Maine,57
Maryland,79
Massachusetts,67
Michigan,71
Minnesota,68
Mississippi,100
Missouri,70
Montana,57
Nebraska,71
Nevada,67
New Hampshire,87
New Jersey,73
New Mexico,74
New York,72
North Carolina,82
North Dakota,67
Ohio,69
Oklahoma,68
Oregon,62
Pennsylvania,77
Rhode Island,84
South Carolina,72
South Dakota,77
Tennessee,72
Texas,68
Utah,71
Vermont,70
Virginia,74
Washington,67
West Virginia,68
Wisconsin,73
Wyoming,40
