geoName,suffer
Alabama,96
Alaska,100
Arizona,75
Arkansas,100
California,77
Colorado,61
Connecticut,63
Delaware,81
District of Columbia,76
Florida,79
Georgia,82
Hawaii,73
Idaho,100
Illinois,65
Indiana,92
Iowa,98
Kansas,92
Kentucky,89
Louisiana,81
Maine,79
Maryland,82
Massachusetts,72
Michigan,93
Minnesota,75
Mississippi,97
Missouri,73
Montana,72
Nebraska,79
Nevada,67
New Hampshire,81
New Jersey,91
New Mexico,98
New York,85
North Carolina,88
North Dakota,38
Ohio,78
Oklahoma,87
Oregon,79
Pennsylvania,81
Rhode Island,88
South Carolina,92
South Dakota,79
Tennessee,83
Texas,79
Utah,80
Vermont,70
Virginia,93
Washington,68
West Virginia,71
Wisconsin,80
Wyoming,52
