date,distressed,isPartial
2016-01-03,68,False
2016-01-10,72,False
2016-01-17,74,False
2016-01-24,74,False
2016-01-31,76,False
2016-02-07,77,False
2016-02-14,82,False
2016-02-21,84,False
2016-02-28,80,False
2016-03-06,74,False
2016-03-13,78,False
2016-03-20,81,False
2016-03-27,79,False
2016-04-03,87,False
2016-04-10,89,False
2016-04-17,83,False
2016-04-24,83,False
2016-05-01,79,False
2016-05-08,74,False
2016-05-15,81,False
2016-05-22,79,False
2016-05-29,85,False
2016-06-05,79,False
2016-06-12,83,False
2016-06-19,83,False
2016-06-26,88,False
2016-07-03,86,False
2016-07-10,82,False
2016-07-17,90,False
2016-07-24,90,False
2016-07-31,87,False
2016-08-07,79,False
2016-08-14,78,False
2016-08-21,87,False
2016-08-28,100,False
2016-09-04,100,False
2016-09-11,88,False
2016-09-18,85,False
2016-09-25,98,False
2016-10-02,98,False
2016-10-09,98,False
2016-10-16,100,False
2016-10-23,95,False
2016-10-30,84,False
2016-11-06,81,False
2016-11-13,94,False
2016-11-20,89,False
2016-11-27,93,False
2016-12-04,85,False
2016-12-11,83,False
2016-12-18,77,False
2016-12-25,90,False
