geoName,distressed
Alabama,84
Alaska,22
Arizona,43
Arkansas,55
California,43
Colorado,46
Connecticut,56
Delaware,45
District of Columbia,31
Florida,43
Georgia,48
Hawaii,23
Idaho,59
Illinois,43
Indiana,41
Iowa,38
Kansas,40
Kentucky,36
Louisiana,79
Maine,29
Maryland,50
Massachusetts,46
Michigan,42
Minnesota,38
Mississippi,100
Missouri,49
Montana,46
Nebraska,42
Nevada,49
New Hampshire,50
New Jersey,46
New Mexico,47
New York,55
North Carolina,52
North Dakota,42
Ohio,35
Oklahoma,65
Oregon,32
Pennsylvania,50
Rhode Island,52
South Carolina,56
South Dakota,85
Tennessee,58
Texas,41
Utah,54
Vermont,63
Virginia,53
Washington,42
West Virginia,64
Wisconsin,44
Wyoming,16
