geoName,distressed
Alabama,75
Alaska,19
Arizona,37
Arkansas,71
California,41
Colorado,38
Connecticut,45
Delaware,34
District of Columbia,36
Florida,37
Georgia,42
Hawaii,35
Idaho,42
Illinois,37
Indiana,47
Iowa,48
Kansas,49
Kentucky,44
Louisiana,64
Maine,44
Maryland,42
Massachusetts,33
Michigan,29
Minnesota,39
Mississippi,100
Missouri,34
Montana,53
Nebraska,45
Nevada,33
New Hampshire,51
New Jersey,45
New Mexico,37
New York,52
North Carolina,54
North Dakota,28
Ohio,39
Oklahoma,56
Oregon,33
Pennsylvania,43
Rhode Island,40
South Carolina,50
South Dakota,58
Tennessee,56
Texas,40
Utah,48
Vermont,46
Virginia,40
Washington,35
West Virginia,49
Wisconsin,34
Wyoming,20
