geoName,distressed
Alabama,72
Alaska,40
Arizona,42
Arkansas,52
California,44
Colorado,42
Connecticut,47
Delaware,53
District of Columbia,45
Florida,42
Georgia,53
Hawaii,30
Idaho,35
Illinois,39
Indiana,44
Iowa,35
Kansas,35
Kentucky,55
Louisiana,71
Maine,43
Maryland,48
Massachusetts,45
Michigan,38
Minnesota,39
Mississippi,100
Missouri,45
Montana,28
Nebraska,39
Nevada,44
New Hampshire,37
New Jersey,50
New Mexico,35
New York,52
North Carolina,46
North Dakota,68
Ohio,44
Oklahoma,65
Oregon,29
Pennsylvania,48
Rhode Island,34
South Carolina,46
South Dakota,54
Tennessee,63
Texas,46
Utah,40
Vermont,44
Virginia,29
Washington,42
West Virginia,34
Wisconsin,38
Wyoming,52
