date,distressed,isPartial
2014-01-05,66,False
2014-01-12,71,False
2014-01-19,81,False
2014-01-26,80,False
2014-02-02,70,False
2014-02-09,95,False
2014-02-16,81,False
2014-02-23,90,False
2014-03-02,75,False
2014-03-09,78,False
2014-03-16,78,False
2014-03-23,75,False
2014-03-30,87,False
2014-04-06,79,False
2014-04-13,78,False
2014-04-20,73,False
2014-04-27,79,False
2014-05-04,75,False
2014-05-11,77,False
2014-05-18,77,False
2014-05-25,72,False
2014-06-01,70,False
2014-06-08,85,False
2014-06-15,77,False
2014-06-22,89,False
2014-06-29,85,False
2014-07-06,91,False
2014-07-13,85,False
2014-07-20,90,False
2014-07-27,83,False
2014-08-03,100,False
2014-08-10,85,False
2014-08-17,79,False
2014-08-24,83,False
2014-08-31,84,False
2014-09-07,89,False
2014-09-14,82,False
2014-09-21,85,False
2014-09-28,81,False
2014-10-05,78,False
2014-10-12,78,False
2014-10-19,85,False
2014-10-26,74,False
2014-11-02,89,False
2014-11-09,87,False
2014-11-16,91,False
2014-11-23,77,False
2014-11-30,77,False
2014-12-07,77,False
2014-12-14,72,False
2014-12-21,66,False
2014-12-28,81,False
