date,distressed,isPartial
2013-01-06,70,False
2013-01-13,72,False
2013-01-20,92,False
2013-01-27,79,False
2013-02-03,80,False
2013-02-10,82,False
2013-02-17,83,False
2013-02-24,83,False
2013-03-03,93,False
2013-03-10,86,False
2013-03-17,88,False
2013-03-24,79,False
2013-03-31,71,False
2013-04-07,79,False
2013-04-14,73,False
2013-04-21,81,False
2013-04-28,82,False
2013-05-05,64,False
2013-05-12,76,False
2013-05-19,71,False
2013-05-26,75,False
2013-06-02,81,False
2013-06-09,82,False
2013-06-16,88,False
2013-06-23,86,False
2013-06-30,82,False
2013-07-07,100,False
2013-07-14,82,False
2013-07-21,80,False
2013-07-28,88,False
2013-08-04,87,False
2013-08-11,85,False
2013-08-18,89,False
2013-08-25,79,False
2013-09-01,92,False
2013-09-08,81,False
2013-09-15,97,False
2013-09-22,80,False
2013-09-29,85,False
2013-10-06,90,False
2013-10-13,83,False
2013-10-20,69,False
2013-10-27,89,False
2013-11-03,88,False
2013-11-10,91,False
2013-11-17,91,False
2013-11-24,81,False
2013-12-01,86,False
2013-12-08,78,False
2013-12-15,78,False
2013-12-22,63,False
2013-12-29,96,False
