geoName,distressed
Alabama,90
Alaska,30
Arizona,53
Arkansas,70
California,57
Colorado,56
Connecticut,62
Delaware,76
District of Columbia,61
Florida,59
Georgia,78
Hawaii,49
Idaho,55
Illinois,57
Indiana,54
Iowa,53
Kansas,63
Kentucky,67
Louisiana,100
Maine,45
Maryland,68
Massachusetts,55
Michigan,54
Minnesota,53
Mississippi,99
Missouri,64
Montana,52
Nebraska,54
Nevada,56
New Hampshire,47
New Jersey,70
New Mexico,39
New York,73
North Carolina,69
North Dakota,54
Ohio,56
Oklahoma,68
Oregon,50
Pennsylvania,66
Rhode Island,56
South Carolina,70
South Dakota,51
Tennessee,82
Texas,64
Utah,44
Vermont,35
Virginia,61
Washington,51
West Virginia,57
Wisconsin,51
Wyoming,32
