geoName,distressed
Alabama,82
Alaska,47
Arizona,46
Arkansas,63
California,46
Colorado,44
Connecticut,55
Delaware,51
District of Columbia,53
Florida,55
Georgia,55
Hawaii,44
Idaho,60
Illinois,46
Indiana,49
Iowa,46
Kansas,44
Kentucky,54
Louisiana,76
Maine,30
Maryland,56
Massachusetts,44
Michigan,42
Minnesota,45
Mississippi,100
Missouri,50
Montana,72
Nebraska,54
Nevada,44
New Hampshire,45
New Jersey,55
New Mexico,49
New York,61
North Carolina,65
North Dakota,77
Ohio,49
Oklahoma,66
Oregon,22
Pennsylvania,50
Rhode Island,52
South Carolina,63
South Dakota,65
Tennessee,61
Texas,53
Utah,62
Vermont,31
Virginia,36
Washington,38
West Virginia,49
Wisconsin,45
Wyoming,50
