geoName,substance abuse
Alabama,54
Alaska,59
Arizona,49
Arkansas,46
California,34
Colorado,40
Connecticut,59
Delaware,49
District of Columbia,52
Florida,44
Georgia,39
Hawaii,59
Idaho,51
Illinois,36
Indiana,46
Iowa,62
Kansas,41
Kentucky,67
Louisiana,51
Maine,100
Maryland,57
Massachusetts,59
Michigan,59
Minnesota,36
Mississippi,36
Missouri,43
Montana,45
Nebraska,37
Nevada,39
New Hampshire,66
New Jersey,40
New Mexico,62
New York,46
North Carolina,82
North Dakota,37
Ohio,34
Oklahoma,59
Oregon,21
Pennsylvania,36
Rhode Island,60
South Carolina,41
South Dakota,49
Tennessee,39
Texas,31
Utah,55
Vermont,83
Virginia,46
Washington,29
West Virginia,59
Wisconsin,38
Wyoming,59
