geoName,substance abuse
Alabama,61
Alaska,68
Arizona,60
Arkansas,59
California,39
Colorado,43
Connecticut,59
Delaware,67
District of Columbia,44
Florida,55
Georgia,44
Hawaii,51
Idaho,39
Illinois,41
Indiana,39
Iowa,71
Kansas,44
Kentucky,52
Louisiana,56
Maine,100
Maryland,72
Massachusetts,69
Michigan,67
Minnesota,35
Mississippi,49
Missouri,49
Montana,44
Nebraska,46
Nevada,41
New Hampshire,60
New Jersey,49
New Mexico,60
New York,49
North Carolina,89
North Dakota,62
Ohio,40
Oklahoma,54
Oregon,22
Pennsylvania,41
Rhode Island,69
South Carolina,41
South Dakota,55
Tennessee,42
Texas,35
Utah,81
Vermont,67
Virginia,51
Washington,32
West Virginia,72
Wisconsin,38
Wyoming,88
