geoName,substance abuse
Alabama,46
Alaska,74
Arizona,51
Arkansas,61
California,31
Colorado,41
Connecticut,64
Delaware,75
District of Columbia,44
Florida,47
Georgia,41
Hawaii,68
Idaho,43
Illinois,42
Indiana,51
Iowa,68
Kansas,44
Kentucky,59
Louisiana,52
Maine,100
Maryland,68
Massachusetts,59
Michigan,64
Minnesota,30
Mississippi,34
Missouri,47
Montana,42
Nebraska,44
Nevada,41
New Hampshire,65
New Jersey,45
New Mexico,85
New York,43
North Carolina,87
North Dakota,30
Ohio,39
Oklahoma,84
Oregon,32
Pennsylvania,41
Rhode Island,78
South Carolina,49
South Dakota,39
Tennessee,45
Texas,31
Utah,75
Vermont,85
Virginia,60
Washington,32
West Virginia,73
Wisconsin,43
Wyoming,64
