geoName,substance abuse
Alabama,57
Alaska,64
Arizona,49
Arkansas,45
California,29
Colorado,35
Connecticut,64
Delaware,50
District of Columbia,41
Florida,49
Georgia,36
Hawaii,62
Idaho,62
Illinois,37
Indiana,40
Iowa,70
Kansas,51
Kentucky,49
Louisiana,56
Maine,100
Maryland,62
Massachusetts,57
Michigan,70
Minnesota,32
Mississippi,44
Missouri,52
Montana,36
Nebraska,48
Nevada,40
New Hampshire,77
New Jersey,44
New Mexico,62
New York,42
North Carolina,90
North Dakota,33
Ohio,38
Oklahoma,61
Oregon,29
Pennsylvania,35
Rhode Island,97
South Carolina,44
South Dakota,61
Tennessee,32
Texas,31
Utah,76
Vermont,81
Virginia,53
Washington,28
West Virginia,59
Wisconsin,42
Wyoming,91
