geoName,media
Alabama,60
Alaska,46
Arizona,60
Arkansas,61
California,70
Colorado,59
Connecticut,64
Delaware,79
District of Columbia,63
Florida,60
Georgia,57
Hawaii,59
Idaho,62
Illinois,54
Indiana,65
Iowa,62
Kansas,58
Kentucky,55
Louisiana,51
Maine,62
Maryland,67
Massachusetts,61
Michigan,59
Minnesota,56
Mississippi,52
Missouri,56
Montana,61
Nebraska,53
Nevada,67
New Hampshire,61
New Jersey,69
New Mexico,58
New York,73
North Carolina,59
North Dakota,55
Ohio,60
Oklahoma,58
Oregon,67
Pennsylvania,87
Rhode Island,66
South Carolina,59
South Dakota,67
Tennessee,59
Texas,52
Utah,72
Vermont,65
Virginia,68
Washington,57
West Virginia,59
Wisconsin,59
Wyoming,100
