geoName,media
Alabama,66
Alaska,52
Arizona,62
Arkansas,64
California,70
Colorado,65
Connecticut,74
Delaware,78
District of Columbia,70
Florida,66
Georgia,62
Hawaii,69
Idaho,69
Illinois,64
Indiana,70
Iowa,62
Kansas,64
Kentucky,63
Louisiana,63
Maine,63
Maryland,72
Massachusetts,68
Michigan,67
Minnesota,60
Mississippi,58
Missouri,62
Montana,62
Nebraska,60
Nevada,71
New Hampshire,65
New Jersey,77
New Mexico,61
New York,76
North Carolina,62
North Dakota,60
Ohio,69
Oklahoma,59
Oregon,72
Pennsylvania,87
Rhode Island,68
South Carolina,64
South Dakota,56
Tennessee,67
Texas,57
Utah,74
Vermont,69
Virginia,69
Washington,62
West Virginia,58
Wisconsin,67
Wyoming,100
