date,media,isPartial
2014-01-05,89,False
2014-01-12,91,False
2014-01-19,92,False
2014-01-26,100,False
2014-02-02,89,False
2014-02-09,90,False
2014-02-16,89,False
2014-02-23,96,False
2014-03-02,93,False
2014-03-09,94,False
2014-03-16,92,False
2014-03-23,91,False
2014-03-30,93,False
2014-04-06,92,False
2014-04-13,88,False
2014-04-20,93,False
2014-04-27,92,False
2014-05-04,90,False
2014-05-11,87,False
2014-05-18,87,False
2014-05-25,82,False
2014-06-01,83,False
2014-06-08,83,False
2014-06-15,83,False
2014-06-22,79,False
2014-06-29,77,False
2014-07-06,81,False
2014-07-13,87,False
2014-07-20,84,False
2014-07-27,86,False
2014-08-03,85,False
2014-08-10,88,False
2014-08-17,86,False
2014-08-24,85,False
2014-08-31,85,False
2014-09-07,86,False
2014-09-14,88,False
2014-09-21,92,False
2014-09-28,92,False
2014-10-05,88,False
2014-10-12,89,False
2014-10-19,91,False
2014-10-26,89,False
2014-11-02,90,False
2014-11-09,88,False
2014-11-16,93,False
2014-11-23,80,False
2014-11-30,95,False
2014-12-07,90,False
2014-12-14,81,False
2014-12-21,66,False
2014-12-28,70,False
