geoName,media
Alabama,43
Alaska,46
Arizona,48
Arkansas,46
California,58
Colorado,53
Connecticut,55
Delaware,65
District of Columbia,65
Florida,46
Georgia,48
Hawaii,46
Idaho,50
Illinois,50
Indiana,47
Iowa,49
Kansas,50
Kentucky,45
Louisiana,42
Maine,46
Maryland,56
Massachusetts,58
Michigan,45
Minnesota,54
Mississippi,40
Missouri,49
Montana,48
Nebraska,47
Nevada,45
New Hampshire,54
New Jersey,60
New Mexico,45
New York,75
North Carolina,47
North Dakota,47
Ohio,48
Oklahoma,43
Oregon,64
Pennsylvania,83
Rhode Island,56
South Carolina,44
South Dakota,47
Tennessee,45
Texas,43
Utah,57
Vermont,57
Virginia,57
Washington,49
West Virginia,41
Wisconsin,50
Wyoming,100
