date,media,isPartial
2013-01-06,95,False
2013-01-13,95,False
2013-01-20,97,False
2013-01-27,100,False
2013-02-03,94,False
2013-02-10,94,False
2013-02-17,95,False
2013-02-24,96,False
2013-03-03,94,False
2013-03-10,93,False
2013-03-17,93,False
2013-03-24,93,False
2013-03-31,89,False
2013-04-07,96,False
2013-04-14,97,False
2013-04-21,94,False
2013-04-28,93,False
2013-05-05,90,False
2013-05-12,91,False
2013-05-19,88,False
2013-05-26,84,False
2013-06-02,88,False
2013-06-09,88,False
2013-06-16,84,False
2013-06-23,85,False
2013-06-30,78,False
2013-07-07,85,False
2013-07-14,90,False
2013-07-21,85,False
2013-07-28,85,False
2013-08-04,84,False
2013-08-11,83,False
2013-08-18,83,False
2013-08-25,86,False
2013-09-01,87,False
2013-09-08,90,False
2013-09-15,90,False
2013-09-22,94,False
2013-09-29,90,False
2013-10-06,92,False
2013-10-13,93,False
2013-10-20,89,False
2013-10-27,92,False
2013-11-03,99,False
2013-11-10,93,False
2013-11-17,95,False
2013-11-24,83,False
2013-12-01,93,False
2013-12-08,93,False
2013-12-15,83,False
2013-12-22,75,False
2013-12-29,79,False
