date,media,isPartial
2015-01-04,87,False
2015-01-11,90,False
2015-01-18,90,False
2015-01-25,100,False
2015-02-01,92,False
2015-02-08,93,False
2015-02-15,92,False
2015-02-22,91,False
2015-03-01,89,False
2015-03-08,91,False
2015-03-15,90,False
2015-03-22,89,False
2015-03-29,87,False
2015-04-05,87,False
2015-04-12,90,False
2015-04-19,96,False
2015-04-26,92,False
2015-05-03,86,False
2015-05-10,86,False
2015-05-17,83,False
2015-05-24,78,False
2015-05-31,85,False
2015-06-07,83,False
2015-06-14,81,False
2015-06-21,83,False
2015-06-28,76,False
2015-07-05,80,False
2015-07-12,84,False
2015-07-19,84,False
2015-07-26,89,False
2015-08-02,90,False
2015-08-09,87,False
2015-08-16,86,False
2015-08-23,88,False
2015-08-30,86,False
2015-09-06,88,False
2015-09-13,90,False
2015-09-20,87,False
2015-09-27,94,False
2015-10-04,93,False
2015-10-11,90,False
2015-10-18,88,False
2015-10-25,93,False
2015-11-01,96,False
2015-11-08,91,False
2015-11-15,95,False
2015-11-22,76,False
2015-11-29,92,False
2015-12-06,93,False
2015-12-13,84,False
2015-12-20,68,False
2015-12-27,70,False
