date,alone,isPartial
2012-01-01,70,False
2012-01-08,64,False
2012-01-15,64,False
2012-01-22,65,False
2012-01-29,62,False
2012-02-05,68,False
2012-02-12,75,False
2012-02-19,64,False
2012-02-26,62,False
2012-03-04,67,False
2012-03-11,66,False
2012-03-18,67,False
2012-03-25,66,False
2012-04-01,71,False
2012-04-08,68,False
2012-04-15,65,False
2012-04-22,66,False
2012-04-29,65,False
2012-05-06,62,False
2012-05-13,60,False
2012-05-20,61,False
2012-05-27,61,False
2012-06-03,61,False
2012-06-10,63,False
2012-06-17,79,False
2012-06-24,73,False
2012-07-01,64,False
2012-07-08,64,False
2012-07-15,62,False
2012-07-22,61,False
2012-07-29,63,False
2012-08-05,65,False
2012-08-12,60,False
2012-08-19,59,False
2012-08-26,61,False
2012-09-02,57,False
2012-09-09,56,False
2012-09-16,60,False
2012-09-23,56,False
2012-09-30,56,False
2012-10-07,55,False
2012-10-14,53,False
2012-10-21,55,False
2012-10-28,55,False
2012-11-04,54,False
2012-11-11,64,False
2012-11-18,64,False
2012-11-25,79,False
2012-12-02,80,False
2012-12-09,73,False
2012-12-16,81,False
2012-12-23,100,False
2012-12-30,66,False
