date,alone,isPartial
2013-01-06,45,False
2013-01-13,48,False
2013-01-20,48,False
2013-01-27,43,False
2013-02-03,46,False
2013-02-10,48,False
2013-02-17,45,False
2013-02-24,43,False
2013-03-03,46,False
2013-03-10,44,False
2013-03-17,46,False
2013-03-24,46,False
2013-03-31,44,False
2013-04-07,47,False
2013-04-14,42,False
2013-04-21,45,False
2013-04-28,45,False
2013-05-05,45,False
2013-05-12,51,False
2013-05-19,49,False
2013-05-26,49,False
2013-06-02,49,False
2013-06-09,49,False
2013-06-16,46,False
2013-06-23,47,False
2013-06-30,48,False
2013-07-07,53,False
2013-07-14,46,False
2013-07-21,46,False
2013-07-28,48,False
2013-08-04,47,False
2013-08-11,45,False
2013-08-18,48,False
2013-08-25,44,False
2013-09-01,47,False
2013-09-08,43,False
2013-09-15,43,False
2013-09-22,44,False
2013-09-29,43,False
2013-10-06,45,False
2013-10-13,48,False
2013-10-20,45,False
2013-10-27,45,False
2013-11-03,46,False
2013-11-10,47,False
2013-11-17,49,False
2013-11-24,53,False
2013-12-01,55,False
2013-12-08,81,False
2013-12-15,82,False
2013-12-22,100,False
2013-12-29,59,False
