geoName,alone
Alabama,86
Alaska,88
Arizona,86
Arkansas,97
California,88
Colorado,80
Connecticut,92
Delaware,100
District of Columbia,83
Florida,86
Georgia,93
Hawaii,82
Idaho,77
Illinois,89
Indiana,96
Iowa,90
Kansas,87
Kentucky,93
Louisiana,91
Maine,91
Maryland,91
Massachusetts,88
Michigan,96
Minnesota,88
Mississippi,85
Missouri,81
Montana,88
Nebraska,90
Nevada,86
New Hampshire,86
New Jersey,93
New Mexico,83
New York,95
North Carolina,86
North Dakota,82
Ohio,92
Oklahoma,94
Oregon,83
Pennsylvania,98
Rhode Island,92
South Carolina,91
South Dakota,89
Tennessee,94
Texas,92
Utah,87
Vermont,87
Virginia,93
Washington,83
West Virginia,99
Wisconsin,85
Wyoming,71
