geoName,alone
Alabama,88
Alaska,84
Arizona,73
Arkansas,89
California,78
Colorado,73
Connecticut,83
Delaware,88
District of Columbia,67
Florida,79
Georgia,80
Hawaii,81
Idaho,85
Illinois,84
Indiana,90
Iowa,73
Kansas,78
Kentucky,93
Louisiana,80
Maine,87
Maryland,83
Massachusetts,85
Michigan,86
Minnesota,75
Mississippi,77
Missouri,81
Montana,83
Nebraska,83
Nevada,81
New Hampshire,85
New Jersey,95
New Mexico,83
New York,87
North Carolina,79
North Dakota,90
Ohio,88
Oklahoma,85
Oregon,77
Pennsylvania,88
Rhode Island,90
South Carolina,85
South Dakota,93
Tennessee,87
Texas,79
Utah,74
Vermont,92
Virginia,87
Washington,78
West Virginia,100
Wisconsin,80
Wyoming,84
