date,alone,isPartial
2015-01-04,48,False
2015-01-11,53,False
2015-01-18,55,False
2015-01-25,50,False
2015-02-01,42,False
2015-02-08,46,False
2015-02-15,43,False
2015-02-22,43,False
2015-03-01,44,False
2015-03-08,43,False
2015-03-15,43,False
2015-03-22,42,False
2015-03-29,48,False
2015-04-05,46,False
2015-04-12,44,False
2015-04-19,46,False
2015-04-26,44,False
2015-05-03,44,False
2015-05-10,41,False
2015-05-17,43,False
2015-05-24,43,False
2015-05-31,45,False
2015-06-07,45,False
2015-06-14,47,False
2015-06-21,49,False
2015-06-28,47,False
2015-07-05,48,False
2015-07-12,49,False
2015-07-19,46,False
2015-07-26,46,False
2015-08-02,47,False
2015-08-09,49,False
2015-08-16,55,False
2015-08-23,44,False
2015-08-30,41,False
2015-09-06,40,False
2015-09-13,39,False
2015-09-20,40,False
2015-09-27,41,False
2015-10-04,41,False
2015-10-11,41,False
2015-10-18,41,False
2015-10-25,41,False
2015-11-01,45,False
2015-11-08,47,False
2015-11-15,48,False
2015-11-22,61,False
2015-11-29,62,False
2015-12-06,59,False
2015-12-13,66,False
2015-12-20,100,False
2015-12-27,58,False
