geoName,alone
Alabama,91
Alaska,81
Arizona,85
Arkansas,88
California,84
Colorado,79
Connecticut,85
Delaware,86
District of Columbia,78
Florida,82
Georgia,87
Hawaii,83
Idaho,85
Illinois,87
Indiana,93
Iowa,86
Kansas,84
Kentucky,97
Louisiana,89
Maine,100
Maryland,87
Massachusetts,91
Michigan,91
Minnesota,85
Mississippi,99
Missouri,84
Montana,76
Nebraska,85
Nevada,85
New Hampshire,82
New Jersey,93
New Mexico,88
New York,87
North Carolina,82
North Dakota,93
Ohio,87
Oklahoma,88
Oregon,66
Pennsylvania,93
Rhode Island,86
South Carolina,87
South Dakota,83
Tennessee,89
Texas,88
Utah,83
Vermont,89
Virginia,91
Washington,86
West Virginia,97
Wisconsin,80
Wyoming,78
