date,alone,isPartial
2011-01-02,63,False
2011-01-09,62,False
2011-01-16,63,False
2011-01-23,62,False
2011-01-30,59,False
2011-02-06,70,False
2011-02-13,67,False
2011-02-20,64,False
2011-02-27,62,False
2011-03-06,57,False
2011-03-13,66,False
2011-03-20,62,False
2011-03-27,61,False
2011-04-03,57,False
2011-04-10,61,False
2011-04-17,60,False
2011-04-24,62,False
2011-05-01,68,False
2011-05-08,65,False
2011-05-15,63,False
2011-05-22,61,False
2011-05-29,61,False
2011-06-05,61,False
2011-06-12,61,False
2011-06-19,61,False
2011-06-26,58,False
2011-07-03,60,False
2011-07-10,60,False
2011-07-17,61,False
2011-07-24,66,False
2011-07-31,58,False
2011-08-07,62,False
2011-08-14,62,False
2011-08-21,57,False
2011-08-28,60,False
2011-09-04,60,False
2011-09-11,59,False
2011-09-18,59,False
2011-09-25,62,False
2011-10-02,62,False
2011-10-09,61,False
2011-10-16,61,False
2011-10-23,59,False
2011-10-30,63,False
2011-11-06,70,False
2011-11-13,96,False
2011-11-20,83,False
2011-11-27,83,False
2011-12-04,89,False
2011-12-11,85,False
2011-12-18,93,False
2011-12-25,100,False
