geoName,alone
Alabama,69
Alaska,82
Arizona,67
Arkansas,73
California,69
Colorado,66
Connecticut,64
Delaware,71
District of Columbia,67
Florida,64
Georgia,69
Hawaii,66
Idaho,78
Illinois,69
Indiana,73
Iowa,69
Kansas,66
Kentucky,71
Louisiana,69
Maine,73
Maryland,68
Massachusetts,69
Michigan,72
Minnesota,69
Mississippi,77
Missouri,66
Montana,71
Nebraska,75
Nevada,66
New Hampshire,69
New Jersey,68
New Mexico,70
New York,73
North Carolina,65
North Dakota,65
Ohio,72
Oklahoma,65
Oregon,57
Pennsylvania,71
Rhode Island,76
South Carolina,72
South Dakota,66
Tennessee,73
Texas,67
Utah,70
Vermont,70
Virginia,100
Washington,68
West Virginia,85
Wisconsin,68
Wyoming,77
