geoName,alone
Alabama,92
Alaska,95
Arizona,87
Arkansas,97
California,85
Colorado,87
Connecticut,88
Delaware,94
District of Columbia,85
Florida,79
Georgia,93
Hawaii,81
Idaho,85
Illinois,93
Indiana,95
Iowa,89
Kansas,92
Kentucky,96
Louisiana,91
Maine,99
Maryland,88
Massachusetts,91
Michigan,92
Minnesota,91
Mississippi,95
Missouri,91
Montana,91
Nebraska,90
Nevada,86
New Hampshire,93
New Jersey,92
New Mexico,91
New York,91
North Carolina,87
North Dakota,92
Ohio,93
Oklahoma,97
Oregon,88
Pennsylvania,94
Rhode Island,95
South Carolina,90
South Dakota,94
Tennessee,93
Texas,90
Utah,91
Vermont,91
Virginia,91
Washington,92
West Virginia,100
Wisconsin,89
Wyoming,93
