date,freaking,isPartial
2016-01-03,68,False
2016-01-10,62,False
2016-01-17,64,False
2016-01-24,69,False
2016-01-31,58,False
2016-02-07,66,False
2016-02-14,66,False
2016-02-21,73,False
2016-02-28,68,False
2016-03-06,58,False
2016-03-13,58,False
2016-03-20,63,False
2016-03-27,64,False
2016-04-03,72,False
2016-04-10,77,False
2016-04-17,97,False
2016-04-24,85,False
2016-05-01,73,False
2016-05-08,67,False
2016-05-15,72,False
2016-05-22,78,False
2016-05-29,66,False
2016-06-05,77,False
2016-06-12,65,False
2016-06-19,75,False
2016-06-26,65,False
2016-07-03,68,False
2016-07-10,68,False
2016-07-17,56,False
2016-07-24,72,False
2016-07-31,66,False
2016-08-07,76,False
2016-08-14,55,False
2016-08-21,64,False
2016-08-28,62,False
2016-09-04,71,False
2016-09-11,61,False
2016-09-18,67,False
2016-09-25,70,False
2016-10-02,74,False
2016-10-09,69,False
2016-10-16,68,False
2016-10-23,74,False
2016-10-30,71,False
2016-11-06,100,False
2016-11-13,77,False
2016-11-20,66,False
2016-11-27,74,False
2016-12-04,79,False
2016-12-11,82,False
2016-12-18,74,False
2016-12-25,72,False
