date,freaking,isPartial
2015-01-04,78,False
2015-01-11,71,False
2015-01-18,81,False
2015-01-25,72,False
2015-02-01,64,False
2015-02-08,83,False
2015-02-15,62,False
2015-02-22,73,False
2015-03-01,77,False
2015-03-08,73,False
2015-03-15,73,False
2015-03-22,65,False
2015-03-29,75,False
2015-04-05,90,False
2015-04-12,73,False
2015-04-19,84,False
2015-04-26,83,False
2015-05-03,81,False
2015-05-10,67,False
2015-05-17,79,False
2015-05-24,63,False
2015-05-31,84,False
2015-06-07,70,False
2015-06-14,89,False
2015-06-21,72,False
2015-06-28,79,False
2015-07-05,88,False
2015-07-12,86,False
2015-07-19,68,False
2015-07-26,70,False
2015-08-02,80,False
2015-08-09,89,False
2015-08-16,77,False
2015-08-23,72,False
2015-08-30,79,False
2015-09-06,76,False
2015-09-13,72,False
2015-09-20,79,False
2015-09-27,65,False
2015-10-04,68,False
2015-10-11,78,False
2015-10-18,71,False
2015-10-25,72,False
2015-11-01,75,False
2015-11-08,100,False
2015-11-15,81,False
2015-11-22,87,False
2015-11-29,81,False
2015-12-06,77,False
2015-12-13,89,False
2015-12-20,96,False
2015-12-27,83,False
