date,freaking,isPartial
2011-01-02,49,False
2011-01-09,71,False
2011-01-16,76,False
2011-01-23,56,False
2011-01-30,56,False
2011-02-06,56,False
2011-02-13,50,False
2011-02-20,56,False
2011-02-27,67,False
2011-03-06,58,False
2011-03-13,48,False
2011-03-20,68,False
2011-03-27,77,False
2011-04-03,74,False
2011-04-10,66,False
2011-04-17,72,False
2011-04-24,56,False
2011-05-01,52,False
2011-05-08,65,False
2011-05-15,68,False
2011-05-22,51,False
2011-05-29,61,False
2011-06-05,68,False
2011-06-12,56,False
2011-06-19,63,False
2011-06-26,57,False
2011-07-03,63,False
2011-07-10,68,False
2011-07-17,56,False
2011-07-24,59,False
2011-07-31,65,False
2011-08-07,58,False
2011-08-14,65,False
2011-08-21,80,False
2011-08-28,72,False
2011-09-04,98,False
2011-09-11,100,False
2011-09-18,72,False
2011-09-25,74,False
2011-10-02,60,False
2011-10-09,68,False
2011-10-16,62,False
2011-10-23,67,False
2011-10-30,56,False
2011-11-06,53,False
2011-11-13,57,False
2011-11-20,60,False
2011-11-27,67,False
2011-12-04,59,False
2011-12-11,53,False
2011-12-18,63,False
2011-12-25,49,False
