geoName,freaking
Alabama,57
Alaska,23
Arizona,60
Arkansas,90
California,59
Colorado,55
Connecticut,60
Delaware,68
District of Columbia,58
Florida,56
Georgia,62
Hawaii,35
Idaho,100
Illinois,65
Indiana,71
Iowa,71
Kansas,72
Kentucky,75
Louisiana,57
Maine,82
Maryland,57
Massachusetts,75
Michigan,66
Minnesota,64
Mississippi,45
Missouri,62
Montana,47
Nebraska,75
Nevada,58
New Hampshire,87
New Jersey,60
New Mexico,50
New York,64
North Carolina,65
North Dakota,29
Ohio,70
Oklahoma,69
Oregon,86
Pennsylvania,61
Rhode Island,68
South Carolina,43
South Dakota,43
Tennessee,61
Texas,68
Utah,91
Vermont,13
Virginia,56
Washington,57
West Virginia,70
Wisconsin,67
Wyoming,47
