geoName,freaking
Alabama,55
Alaska,61
Arizona,55
Arkansas,85
California,54
Colorado,63
Connecticut,41
Delaware,93
District of Columbia,52
Florida,60
Georgia,60
Hawaii,69
Idaho,100
Illinois,52
Indiana,70
Iowa,75
Kansas,47
Kentucky,56
Louisiana,63
Maine,68
Maryland,77
Massachusetts,59
Michigan,69
Minnesota,54
Mississippi,58
Missouri,71
Montana,86
Nebraska,71
Nevada,51
New Hampshire,51
New Jersey,51
New Mexico,54
New York,52
North Carolina,55
North Dakota,80
Ohio,61
Oklahoma,55
Oregon,40
Pennsylvania,58
Rhode Island,41
South Carolina,53
South Dakota,60
Tennessee,44
Texas,56
Utah,69
Vermont,79
Virginia,50
Washington,72
West Virginia,43
Wisconsin,53
Wyoming,70
