geoName,freaking
Alabama,71
Alaska,55
Arizona,63
Arkansas,51
California,65
Colorado,58
Connecticut,51
Delaware,97
District of Columbia,57
Florida,64
Georgia,63
Hawaii,19
Idaho,60
Illinois,65
Indiana,63
Iowa,73
Kansas,69
Kentucky,45
Louisiana,64
Maine,81
Maryland,76
Massachusetts,51
Michigan,63
Minnesota,74
Mississippi,66
Missouri,64
Montana,90
Nebraska,72
Nevada,70
New Hampshire,83
New Jersey,53
New Mexico,79
New York,61
North Carolina,64
North Dakota,49
Ohio,71
Oklahoma,64
Oregon,62
Pennsylvania,67
Rhode Island,52
South Carolina,53
South Dakota,51
Tennessee,74
Texas,64
Utah,94
Vermont,11
Virginia,55
Washington,64
West Virginia,63
Wisconsin,61
Wyoming,100
