date,freaking,isPartial
2013-01-06,69,False
2013-01-13,83,False
2013-01-20,93,False
2013-01-27,67,False
2013-02-03,93,False
2013-02-10,80,False
2013-02-17,72,False
2013-02-24,80,False
2013-03-03,68,False
2013-03-10,79,False
2013-03-17,88,False
2013-03-24,100,False
2013-03-31,59,False
2013-04-07,93,False
2013-04-14,67,False
2013-04-21,87,False
2013-04-28,88,False
2013-05-05,91,False
2013-05-12,79,False
2013-05-19,82,False
2013-05-26,68,False
2013-06-02,85,False
2013-06-09,82,False
2013-06-16,84,False
2013-06-23,81,False
2013-06-30,80,False
2013-07-07,83,False
2013-07-14,65,False
2013-07-21,92,False
2013-07-28,84,False
2013-08-04,78,False
2013-08-11,76,False
2013-08-18,66,False
2013-08-25,76,False
2013-09-01,63,False
2013-09-08,71,False
2013-09-15,69,False
2013-09-22,70,False
2013-09-29,83,False
2013-10-06,74,False
2013-10-13,86,False
2013-10-20,78,False
2013-10-27,69,False
2013-11-03,88,False
2013-11-10,79,False
2013-11-17,86,False
2013-11-24,90,False
2013-12-01,80,False
2013-12-08,73,False
2013-12-15,92,False
2013-12-22,88,False
2013-12-29,66,False
