date,freaking,isPartial
2014-01-05,66,False
2014-01-12,64,False
2014-01-19,73,False
2014-01-26,79,False
2014-02-02,69,False
2014-02-09,60,False
2014-02-16,56,False
2014-02-23,63,False
2014-03-02,61,False
2014-03-09,63,False
2014-03-16,59,False
2014-03-23,71,False
2014-03-30,66,False
2014-04-06,59,False
2014-04-13,70,False
2014-04-20,62,False
2014-04-27,70,False
2014-05-04,70,False
2014-05-11,80,False
2014-05-18,76,False
2014-05-25,100,False
2014-06-01,89,False
2014-06-08,74,False
2014-06-15,70,False
2014-06-22,68,False
2014-06-29,71,False
2014-07-06,68,False
2014-07-13,72,False
2014-07-20,78,False
2014-07-27,79,False
2014-08-03,70,False
2014-08-10,70,False
2014-08-17,74,False
2014-08-24,70,False
2014-08-31,68,False
2014-09-07,62,False
2014-09-14,69,False
2014-09-21,77,False
2014-09-28,81,False
2014-10-05,54,False
2014-10-12,87,False
2014-10-19,74,False
2014-10-26,69,False
2014-11-02,64,False
2014-11-09,81,False
2014-11-16,71,False
2014-11-23,75,False
2014-11-30,74,False
2014-12-07,84,False
2014-12-14,63,False
2014-12-21,76,False
2014-12-28,76,False
