geoName,sadness
Alabama,70
Alaska,87
Arizona,81
Arkansas,71
California,81
Colorado,79
Connecticut,75
Delaware,66
District of Columbia,69
Florida,65
Georgia,60
Hawaii,72
Idaho,55
Illinois,72
Indiana,78
Iowa,64
Kansas,61
Kentucky,66
Louisiana,55
Maine,76
Maryland,69
Massachusetts,87
Michigan,66
Minnesota,80
Mississippi,61
Missouri,68
Montana,71
Nebraska,76
Nevada,60
New Hampshire,46
New Jersey,81
New Mexico,71
New York,74
North Carolina,63
North Dakota,70
Ohio,84
Oklahoma,81
Oregon,75
Pennsylvania,75
Rhode Island,82
South Carolina,54
South Dakota,91
Tennessee,58
Texas,69
Utah,100
Vermont,94
Virginia,74
Washington,74
West Virginia,64
Wisconsin,66
Wyoming,61
