geoName,sadness
Alabama,54
Alaska,82
Arizona,73
Arkansas,80
California,81
Colorado,74
Connecticut,70
Delaware,52
District of Columbia,55
Florida,68
Georgia,66
Hawaii,94
Idaho,78
Illinois,68
Indiana,72
Iowa,69
Kansas,52
Kentucky,90
Louisiana,57
Maine,100
Maryland,73
Massachusetts,87
Michigan,71
Minnesota,67
Mississippi,40
Missouri,73
Montana,73
Nebraska,47
Nevada,78
New Hampshire,76
New Jersey,85
New Mexico,50
New York,80
North Carolina,61
North Dakota,72
Ohio,80
Oklahoma,78
Oregon,71
Pennsylvania,76
Rhode Island,76
South Carolina,66
South Dakota,82
Tennessee,69
Texas,64
Utah,56
Vermont,59
Virginia,63
Washington,79
West Virginia,80
Wisconsin,65
Wyoming,86
