date,sadness,isPartial
2016-01-03,81,False
2016-01-10,77,False
2016-01-17,72,False
2016-01-24,73,False
2016-01-31,69,False
2016-02-07,74,False
2016-02-14,78,False
2016-02-21,60,False
2016-02-28,71,False
2016-03-06,74,False
2016-03-13,100,False
2016-03-20,86,False
2016-03-27,76,False
2016-04-03,72,False
2016-04-10,75,False
2016-04-17,74,False
2016-04-24,77,False
2016-05-01,96,False
2016-05-08,85,False
2016-05-15,86,False
2016-05-22,74,False
2016-05-29,71,False
2016-06-05,72,False
2016-06-12,65,False
2016-06-19,78,False
2016-06-26,70,False
2016-07-03,69,False
2016-07-10,65,False
2016-07-17,58,False
2016-07-24,56,False
2016-07-31,62,False
2016-08-07,50,False
2016-08-14,56,False
2016-08-21,59,False
2016-08-28,61,False
2016-09-04,67,False
2016-09-11,72,False
2016-09-18,79,False
2016-09-25,68,False
2016-10-02,68,False
2016-10-09,72,False
2016-10-16,77,False
2016-10-23,94,False
2016-10-30,78,False
2016-11-06,70,False
2016-11-13,71,False
2016-11-20,70,False
2016-11-27,65,False
2016-12-04,72,False
2016-12-11,65,False
2016-12-18,61,False
2016-12-25,58,False
