date,sadness,isPartial
2015-01-04,46,False
2015-01-11,50,False
2015-01-18,46,False
2015-01-25,52,False
2015-02-01,52,False
2015-02-08,38,False
2015-02-15,47,False
2015-02-22,50,False
2015-03-01,51,False
2015-03-08,55,False
2015-03-15,52,False
2015-03-22,62,False
2015-03-29,50,False
2015-04-05,47,False
2015-04-12,48,False
2015-04-19,55,False
2015-04-26,47,False
2015-05-03,52,False
2015-05-10,53,False
2015-05-17,51,False
2015-05-24,59,False
2015-05-31,57,False
2015-06-07,56,False
2015-06-14,71,False
2015-06-21,95,False
2015-06-28,92,False
2015-07-05,87,False
2015-07-12,80,False
2015-07-19,80,False
2015-07-26,73,False
2015-08-02,62,False
2015-08-09,69,False
2015-08-16,64,False
2015-08-23,53,False
2015-08-30,59,False
2015-09-06,61,False
2015-09-13,66,False
2015-09-20,59,False
2015-09-27,67,False
2015-10-04,60,False
2015-10-11,65,False
2015-10-18,83,False
2015-10-25,100,False
2015-11-01,85,False
2015-11-08,77,False
2015-11-15,70,False
2015-11-22,73,False
2015-11-29,70,False
2015-12-06,64,False
2015-12-13,66,False
2015-12-20,60,False
2015-12-27,69,False
