date,sadness,isPartial
2013-01-06,17,False
2013-01-13,21,False
2013-01-20,18,False
2013-01-27,14,False
2013-02-03,19,False
2013-02-10,18,False
2013-02-17,19,False
2013-02-24,18,False
2013-03-03,19,False
2013-03-10,19,False
2013-03-17,18,False
2013-03-24,17,False
2013-03-31,22,False
2013-04-07,18,False
2013-04-14,19,False
2013-04-21,22,False
2013-04-28,23,False
2013-05-05,19,False
2013-05-12,22,False
2013-05-19,24,False
2013-05-26,24,False
2013-06-02,23,False
2013-06-09,29,False
2013-06-16,23,False
2013-06-23,28,False
2013-06-30,30,False
2013-07-07,35,False
2013-07-14,42,False
2013-07-21,53,False
2013-07-28,57,False
2013-08-04,72,False
2013-08-11,85,False
2013-08-18,95,False
2013-08-25,100,False
2013-09-01,97,False
2013-09-08,93,False
2013-09-15,85,False
2013-09-22,89,False
2013-09-29,81,False
2013-10-06,72,False
2013-10-13,63,False
2013-10-20,61,False
2013-10-27,53,False
2013-11-03,53,False
2013-11-10,64,False
2013-11-17,57,False
2013-11-24,42,False
2013-12-01,40,False
2013-12-08,35,False
2013-12-15,33,False
2013-12-22,34,False
2013-12-29,35,False
