geoName,sadness
Alabama,82
Alaska,93
Arizona,82
Arkansas,73
California,100
Colorado,83
Connecticut,80
Delaware,93
District of Columbia,72
Florida,75
Georgia,69
Hawaii,90
Idaho,84
Illinois,83
Indiana,92
Iowa,83
Kansas,66
Kentucky,80
Louisiana,61
Maine,79
Maryland,84
Massachusetts,82
Michigan,76
Minnesota,72
Mississippi,57
Missouri,75
Montana,76
Nebraska,80
Nevada,85
New Hampshire,65
New Jersey,87
New Mexico,88
New York,76
North Carolina,69
North Dakota,53
Ohio,93
Oklahoma,64
Oregon,67
Pennsylvania,85
Rhode Island,97
South Carolina,63
South Dakota,88
Tennessee,75
Texas,84
Utah,93
Vermont,85
Virginia,69
Washington,83
West Virginia,89
Wisconsin,77
Wyoming,77
