geoName,sadness
Alabama,62
Alaska,49
Arizona,67
Arkansas,58
California,67
Colorado,59
Connecticut,80
Delaware,38
District of Columbia,42
Florida,59
Georgia,57
Hawaii,57
Idaho,54
Illinois,57
Indiana,65
Iowa,59
Kansas,57
Kentucky,82
Louisiana,73
Maine,52
Maryland,55
Massachusetts,59
Michigan,55
Minnesota,49
Mississippi,50
Missouri,50
Montana,82
Nebraska,49
Nevada,77
New Hampshire,69
New Jersey,79
New Mexico,84
New York,60
North Carolina,65
North Dakota,68
Ohio,78
Oklahoma,64
Oregon,62
Pennsylvania,69
Rhode Island,100
South Carolina,46
South Dakota,82
Tennessee,73
Texas,66
Utah,62
Vermont,96
Virginia,60
Washington,61
West Virginia,62
Wisconsin,73
Wyoming,56
