geoName,attitude
Alabama,79
Alaska,68
Arizona,81
Arkansas,92
California,65
Colorado,70
Connecticut,61
Delaware,59
District of Columbia,56
Florida,76
Georgia,75
Hawaii,91
Idaho,64
Illinois,67
Indiana,80
Iowa,75
Kansas,66
Kentucky,88
Louisiana,79
Maine,88
Maryland,64
Massachusetts,61
Michigan,88
Minnesota,59
Mississippi,82
Missouri,61
Montana,67
Nebraska,95
Nevada,74
New Hampshire,65
New Jersey,65
New Mexico,78
New York,62
North Carolina,75
North Dakota,85
Ohio,77
Oklahoma,74
Oregon,69
Pennsylvania,67
Rhode Island,98
South Carolina,80
South Dakota,81
Tennessee,72
Texas,72
Utah,81
Vermont,75
Virginia,66
Washington,66
West Virginia,100
Wisconsin,70
Wyoming,76
